2015,1,1,21,27,562,851,7964,65,18,145,284,7,1,1
2015,1,2,21,41,779,1167,10796,105,14,337,2237,29,1,1
2015,3,75,24,37,688,1113,9190,64,27,212,283,4,0,0
2015,3,89,23,47,1187,1838,13600,83,54,132,-804,2,0,0
2015,4,103,24,37,530,845,8195,62,10,192,338,21,0,0
2015,5,147,22,40,837,1241,9966,75,25,479,1747,30,0,0
2015,7,250,22,44,550,934,5931,27,24,142,-23,6,0,1
2014,1,3,22,37,585,891,7598,56,19,195,561,15,0,1
2014,1,22,21,26,595,863,7820,63,22,345,2169,30,1,0
2014,1,32,21,39,781,1142,9817,72,24,226,170,6,0,1
2014,2,36,23,44,1087,1630,12843,113,24,164,190,5,0,1
2014,2,62,22,45,1047,1668,13156,118,51,260,-67,8,0,0
2014,4,120,23,47,693,1248,9003,52,39,495,1359,24,0,0
2014,4,135,24,31,430,757,5690,37,19,167,-319,4,0,0
2014,5,164,24,53,686,1026,9019,77,15,119,-50,3,0,0
2014,6,178,23,30,407,659,5783,35,15,83,-313,0,0,0
2013,1,16,23,43,600,897,7741,47,28,298,827,11,0,0
2013,2,39,22,44,988,1465,11662,98,21,245,342,4,0,0
2013,3,73,23,36,646,1069,7411,63,31,111,-281,3,0,0
2013,4,98,23,47,1001,1562,12327,116,48,132,-113,6,0,0
2013,4,110,23,47,791,1312,9190,70,28,242,168,5,0,0
2013,7,237,23,47,649,1132,8433,52,39,526,2068,5,0,0
2013,7,249,23,42,898,1389,9465,51,40,153,-167,9,0,0
2012,1,1,23,38,713,1064,9430,82,22,163,957,7,0,1
2012,1,2,22,41,800,1192,10366,78,17,528,2254,33,1,1
2012,1,8,24,50,484,774,5450,42,21,115,369,5,0,1
2012,1,22,28,30,767,1103,9260,75,27,39,-150,1,0,0
2012,2,57,21,25,412,680,5082,33,15,137,221,4,0,1
2012,3,75,23,50,907,1489,11720,109,30,441,1421,23,0,1
2012,3,88,23,36,938,1404,10068,67,33,106,-290,4,0,1
2012,4,102,24,45,723,1128,9131,66,30,111,-127,1,0,1
2012,6,185,23,49,961,1732,12690,90,47,90,-275,2,0,0
2011,1,1,22,20,191,292,2908,30,7,285,1586,24,1,1
2011,1,8,23,40,619,1147,7639,53,35,454,1939,29,0,0
2011,1,10,21,31,568,933,6822,40,18,221,458,8,0,0
2011,1,12,23,35,596,965,6872,49,30,296,833,10,0,1
2011,2,35,23,50,812,1317,10314,71,30,413,1611,22,0,1
2011,2,36,23,51,740,1271,10098,82,24,600,4112,59,0,1
2011,3,74,23,37,552,955,8385,69,24,135,-141,7,0,0
2011,5,152,24,45,795,1277,9377,58,46,220,-333,7,0,0
2011,6,180,22,50,495,865,7017,44,20,501,2196,23,0,1
2011,7,208,23,35,436,658,5691,39,10,114,71,2,0,0
2010,1,1,22,31,604,893,8403,88,16,77,36,5,1,1